pano,onscode,panamelong,region,con15,lab15,ld15,ukip15,grn15,pc15,snp15,total15,elec15,leave16sh,con17,lab17,ld17,ukip17,grn17,pc17,snp17,total17,elec17,c11degree,c11noqual,c11age1824,c11age65p,c11pubsect,c11beu,unemp15,unemp17
1,"W07000049","Aberavon","Wales",3742,15416,1397,4971,711,3663,,31523,49821,60.0,5901,22662,599,1345,0,2761,0,33268,49892,16.6,32.900002,8.3000002,18.299999,30,.80000001,1107,1080
2,"W07000058","Aberconwy","Wales",12513,8514,1391,3467,727,3536,,30148,45525,53.4,14337,13702,941,0,0,3170,0,32150,45251,27.1,23.700001,7.1999998,24.200001,32.7,1.7,808,685
3,"S14000001","Aberdeen North","Scotland",5304,11397,2050,,,,24793,43936,67745,43.1,8341,11031,1693,0,0,0,15170,36757,62130,28.961033,22.458717,18.484959,13.364241,26.019569,8.3799944,1070,2175
4,"S14000002","Aberdeen South","Scotland",11087,12991,2252,897,964,,20221,48551,68056,32.3,18746,9143,2610,0,0,0,13994,44493,64964,40.29562,17.018925,11.518611,15.44363,24.189218,5.8821635,666,1410
5,"S14000058","Aberdeenshire West & Kincardine","Scotland",15916,2487,11812,1006,885,,22949,55196,73445,38.6,24704,5706,4461,0,0,0,16754,51625,72477,33.289639,18.127272,6.8040562,16.342819,25.304254,2.1916912,306,785
6,"S14000003","Airdrie & Shotts","Scotland",3389,15108,678,1088,,,23887,44286,66792,40.1,8813,14096,802,0,0,0,14291,38002,64146,15.485368,36.025417,8.8764629,15.477896,28.562677,1.2790494,2011,1695
7,"E14000530","Aldershot","South East",23369,8468,4076,8253,2025,,,46191,72430,57.9,26950,15477,3637,1796,1090,0,0,48950,76205,25,18.5,9.3999996,12.7,29.4,3.7,678,635
8,"E14000531","Aldridge-Brownhills","West Midlands",20558,8835,1330,7751,826,,,39497,60215,67.8,26317,12010,1343,0,0,0,0,40235,60363,20.5,29.5,7.3000002,21.700001,27.9,.80000001,749,780
9,"E14000532","Altrincham & Sale West","North West",26771,13481,4235,4047,1983,,,50517,71511,38.5,26933,20507,4051,0,1000,0,0,52790,73226,40.299999,15.2,6.4000001,17.1,27.5,2.3,702,670
10,"W07000043","Alyn & Deeside","Wales",13197,16540,1733,7260,976,1608,,41314,62016,57.7,18080,23315,1077,1117,0,1171,0,44760,63013,21.299999,22.6,8.6000004,16.6,23.6,2.5999999,1000,830
11,"E14000533","Amber Valley","East Midlands",20106,15901,1360,7263,1087,,,45717,69510,65.3,25905,17605,1100,0,650,0,0,45811,68065,18.700001,29.700001,7.6999998,18.200001,24.8,1.3,989,860
12,"S14000004","Angus","Scotland",12900,3919,1216,1355,965,,24130,44485,65792,48.1,18148,5233,1308,0,0,0,15503,40192,63840,21.047602,29.771057,7.7275476,20.453699,29.373028,2.5219758,1161,1370
16,"W07000057","Arfon","Wales",3521,8122,718,2277,,11790,,26837,40492,34.9,4614,11427,648,0,0,11519,0,28208,41367,27.9,21,16.200001,15.9,39,1.7,1060,1010
17,"S14000005","Argyll & Bute","Scotland",7733,5394,14486,1311,,,22959,51883,68875,39.4,15976,6044,8745,0,0,0,17304,48069,67230,28.857603,24.730438,7.077558,22.668602,34.080632,2.0132477,1077,915
18,"E14000534","Arundel & South Downs","South East",34331,6324,4062,8154,3606,,,56477,77242,50.7,37573,13690,4783,1668,2542,0,0,60256,79478,33,17.9,5.8000002,23.799999,26.4,2,380,370
19,"E14000535","Ashfield","East Midlands",10628,19448,7030,10150,,,,47409,77091,70.6,20844,21285,969,1885,398,0,0,49993,78076,14.6,32.299999,8.1999998,17.5,25.5,1.5,1552,1310
20,"E14000536","Ashford","South East",30094,10580,3433,10798,2467,,,57372,85177,59.7,35318,17840,3101,2218,1402,0,0,59879,87387,24.299999,21.299999,7.8000002,16.700001,26.2,2.9000001,1100,1255
